Nombres de la población. 2018
Catalunya
"Fuente: Idescat, a partir del Registro de población de Cataluña."
Nota: ‰ calculado sobre el total de la población en la década seleccionada.
Nota: Sólo se muestran los nombres de frecuencia igual o superior a 4.
Institut d'Estadística de Catalunya
http://www.idescat.cat/noms/?lang=es
Pos.,Sexo,Nombre,Ranking. Frecuencia,Ranking. ‰
00443,H,RAYAN,2000,0.26
00444,M,ESTELA,1998,0.26
00445,H,BILAL,1989,0.26
00446,H,PEDRO JOSÉ,1986,0.26
00447,H,ISRAEL,1976,0.26
00448,M,MIA,1965,0.26
00449,H,QUIM,1960,0.25
00450,M,MARIA NÚRIA/MARÍA NURIA,1949,0.25
00451,M,ANAÍS/ANAÏS/ANAIS,1943,0.25
00452,M,MARIA FRANCISCA/MARÍA FRANCISCA,1933,0.25
00453,H,MARCO,1922,0.25
00454,H,FRANCISCO MANUEL,1919,0.25
00455,M,AINOA,1915,0.25
00456,H,NARCÍS,1900,0.25
00457,M,PETRA,1897,0.25
00458,M,MARIA PAZ/MARÍA PAZ,1890,0.25
00459,H,JACINTO,1886,0.25
00460,H,KHALID,1885,0.24
00461,H,ÀYOUB/ÁYOUB,1881,0.24
00462,M,GEMA,1877,0.24
00463,H,ERNEST,1873,0.24
00464,H,ENZO,1865,0.24
00465,M,DESIRÉE,1863,0.24
00466,H,BERNARDO,1859,0.24
00466,H,GERARDO,1859,0.24
00468,M,YASMINA,1853,0.24
00469,M,CHLOE/CHLÓE,1841,0.24
00470,M,YAIZA,1840,0.24
00471,H,HAMZA,1834,0.24
00472,H,VICENÇ,1828,0.24
00473,M,ESTRELLA,1827,0.24
00474,M,MARIA CRUZ/MARÍA CRUZ,1826,0.24
00474,M,PIEDAD,1826,0.24
00476,H,ABDELLAH,1816,0.24
00476,H,LUCÀ,1816,0.24
00478,M,AMINA,1814,0.24
00479,H,BENJAMÍN,1787,0.23
00480,M,MARGARIDA,1783,0.23
00481,H,LUIS ALBERTO,1778,0.23
00482,H,ALEXIS,1774,0.23
00483,M,SARAY,1753,0.23
00484,M,MARIA ÀNGELA/MARÍA ÁNGELA,1749,0.23
00484,H,PASCUAL,1749,0.23
00486,M,ANGELINA,1747,0.23
00487,H,FERMÍN,1745,0.23
00488,H,BARTOLOMÉ,1736,0.23
00489,M,ENCARNA,1719,0.22
00490,M,LOLA,1718,0.22
00491,M,MALIKA,1696,0.22
00492,M,LEYRE,1694,0.22
00493,M,LIA/LÍA,1686,0.22
00494,H,ABDESLAM,1685,0.22
00495,M,AMANDA,1681,0.22
00496,M,THAÍS/THAIS,1672,0.22
00497,H,LEONARDO,1664,0.22
00498,M,SAMIRA,1662,0.22
00499,M,ÀNGELS,1654,0.21
00500,H,HICHAM,1641,0.21
00501,H,JOSÉ JAVIER,1640,0.21
00502,H,ANIOL,1637,0.21
00502,H,BORJA,1637,0.21
00504,H,KILIAN,1633,0.21
00505,M,ÀFRICA/ÁFRICA,1624,0.21
00506,H,JOSÉ ÀNGEL/JOSÉ ÁNGEL,1608,0.21
00507,H,JOSÉ IGNACIO,1607,0.21
00508,M,GALA,1604,0.21
00509,M,AURÈLIA/AURELIA,1602,0.21
00509,H,JOSEP LLUÍS,1602,0.21
00511,H,MARCELINO,1595,0.21
00511,M,VERA,1595,0.21
00513,H,MARCO ANTONIO,1592,0.21
00513,M,MARIA DEL ROSER/MARÍA DEL ROSER,1592,0.21
00515,M,LYDIA,1583,0.21
00516,M,JÈNIFER/JENIFER,1581,0.21
00517,H,RODRIGO,1579,0.21
00518,M,MAITE,1573,0.20
00519,H,ARAN/ARÁN,1563,0.20
00520,H,GINÉS,1561,0.20
00521,M,ADELINA,1557,0.20
00522,M,JUANA MARIA/JUANA MARÍA,1555,0.20
00523,M,MARIA NEUS/MARÍA NEUS,1550,0.20
00524,M,SAIDA,1542,0.20
00525,H,ABDELAZIZ,1538,0.20
00526,M,RACHIDA,1518,0.20
00527,H,ABRAHAM,1517,0.20
00528,H,IBRAHIM,1515,0.20
00529,H,ARMANDO,1513,0.20
00530,M,PAOLA,1510,0.20
00531,H,BLAS,1501,0.20
00532,H,JUAN PABLO,1500,0.19
00533,H,ABDELKADER,1498,0.19
00533,M,NAYARA,1498,0.19
00535,H,BRAHIM,1493,0.19
00536,H,YERAY,1490,0.19
00537,H,MARÇAL,1484,0.19
00538,M,MARIA ALBA/MARÍA ALBA,1480,0.19
00538,M,MARIA ENCARNACIÓN/MARÍA ENCARNACIÓN,1480,0.19
00540,H,ASIER,1476,0.19
00541,H,EUSEBIO,1467,0.19
00542,H,DYLAN,1466,0.19
00543,M,KARIMA,1462,0.19
00543,M,MARIA FERNANDA/MARÍA FERNANDA,1462,0.19
00545,H,DAMIÁN,1460,0.19
00546,H,LLORENÇ,1456,0.19
00546,M,MALAK,1456,0.19
00548,M,GINA,1450,0.19
00549,H,MAMADOU,1447,0.19
00550,H,JULEN,1443,0.19
00551,H,ARTUR,1431,0.19
00552,H,GAEL,1430,0.19
00552,M,JOSEPA,1430,0.19
00554,H,MOHAMMAD,1428,0.19
00555,M,ZOÈ/ZOÉ/ZOE,1423,0.18
00556,H,JOSEP ANTONI,1416,0.18
00556,M,RUT,1416,0.18
00558,M,FILOMENA,1414,0.18
00559,H,ANTONIO MANUEL,1412,0.18
00560,M,ELIZABETH,1411,0.18
00561,M,FLORENTINA,1410,0.18
00562,M,FATIHA,1406,0.18
00563,M,MARIA DEL ROSARIO/MARÍA DEL ROSARIO,1405,0.18
00564,H,ANAS/ANÁS,1401,0.18
00565,H,JERÓNIMO,1397,0.18
00565,M,LINA,1397,0.18
00565,H,SIMON/SIMÓN,1397,0.18
00568,H,CARMELO,1394,0.18
00569,M,LAILA,1388,0.18
00570,M,ESTEL,1384,0.18
00571,H,DARIO/DARÍO,1374,0.18
00572,M,IRIA/IRÍA,1371,0.18
00573,M,MARIBEL,1366,0.18
00574,H,JOAN CARLES,1365,0.18
00575,M,REGINA,1361,0.18
00576,H,JOSEP ORIOL,1349,0.18
00577,M,CANDELA,1342,0.17
00578,M,PALMIRA,1340,0.17
00579,M,CÀNDIDA/CÁNDIDA,1338,0.17
00580,M,ALMA,1334,0.17
00581,H,CLAUDIO,1329,0.17
00582,M,JÈSICA/JESICA,1326,0.17
00583,M,ADA,1320,0.17
00584,M,NAIA,1310,0.17
00585,H,VICTORIANO,1307,0.17
00586,M,SUSANNA,1303,0.17
00587,M,AGNÈS,1298,0.17
00587,H,VASILE,1298,0.17
00589,M,NINA,1290,0.17
00590,H,AURELIO,1288,0.17
00591,M,MARIA BEGOÑA/MARÍA BEGOÑA,1286,0.17
00592,M,HAJAR,1275,0.17
00593,M,MARIA AMPARO/MARÍA AMPARO,1272,0.17
00594,M,ARES,1264,0.16
00595,H,JULIO CÈSAR/JULIO CÉSAR,1262,0.16
00596,M,NICOLE,1259,0.16
00597,H,TEO,1255,0.16
00598,H,DENÍS/DENIS,1247,0.16
00599,M,LATIFA,1245,0.16
00600,H,YASSINE,1244,0.16
00601,H,GUSTAVO,1239,0.16
00602,H,KARIM,1234,0.16
00603,H,BLAI,1232,0.16
00604,H,MIMOUN,1228,0.16
00605,H,JAMAL,1224,0.16
00605,M,MARIA TRINIDAD/MARÍA TRINIDAD,1224,0.16
00607,M,BOUCHRA,1214,0.16
00608,M,GREGÒRIA/GREGORIA,1213,0.16
00609,M,FLORA,1211,0.16
00610,H,NARCISO,1210,0.16
00611,M,FERNANDA,1209,0.16
00612,H,EUDALD,1208,0.16
00613,H,PEDRO ANTONIO,1207,0.16
00614,M,YASMIN,1204,0.16
00615,H,JUAN BAUTISTA,1202,0.16
00616,M,HANANE,1200,0.16
00617,M,ADELAIDA,1195,0.16
00618,H,FLORENCIO,1187,0.15
00619,H,JORGE LUIS,1182,0.15
00620,M,ZOHRA,1177,0.15
00621,H,GHEORGHE,1176,0.15
00622,H,ISIDORO,1171,0.15
00623,H,AYMAN,1170,0.15
00624,H,AMADEO,1168,0.15
00625,M,JORDINA,1164,0.15
