TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
10/03/2020,78,Barcelona,10-19,1,Dona,Sospitós,3
10/03/2020,78,Barcelona,90+,1,Dona,Positiu,1
10/03/2020,67,Catalunya Central,50-59,1,Dona,Sospitós,3
10/03/2020,61,Lleida,20-29,1,Dona,Sospitós,1
10/03/2020,67,Catalunya Central,50-59,0,Home,Positiu,2
10/03/2020,78,Barcelona,70-79,0,Home,Positiu,3
10/03/2020,64,Girona,40-49,1,Dona,Positiu,1
10/03/2020,78,Barcelona,30-39,0,Home,Positiu,1
10/03/2020,62,Camp de Tarragona,30-39,1,Dona,Sospitós,3
10/03/2020,67,Catalunya Central,10-19,1,Dona,Sospitós,1
10/03/2020,62,Camp de Tarragona,30-39,0,Home,Sospitós,1
10/03/2020,64,Girona,10-19,0,Home,Sospitós,2
10/03/2020,64,Girona,20-29,0,Home,Sospitós,1
10/03/2020,67,Catalunya Central,30-39,1,Dona,Sospitós,2
10/03/2020,78,Barcelona,10-19,0,Home,Sospitós,3
10/03/2020,61,Lleida,50-59,0,Home,Sospitós,2
10/03/2020,67,Catalunya Central,20-29,0,Home,Positiu,1
10/03/2020,78,Barcelona,60-69,1,Dona,Sospitós,7
10/03/2020,67,Catalunya Central,80-89,0,Home,Sospitós,1
10/03/2020,78,Barcelona,40-49,0,Home,Positiu,2
10/03/2020,78,Barcelona,20-29,1,Dona,Positiu,3
10/03/2020,63,Terres de l'Ebre,70-79,0,Home,Sospitós,1
10/03/2020,67,Catalunya Central,50-59,1,Dona,Positiu,4
10/03/2020,64,Girona,50-59,0,Home,Sospitós,1
10/03/2020,64,Girona,60-69,1,Dona,Sospitós,1
10/03/2020,78,Barcelona,50-59,1,Dona,Positiu,3
10/03/2020,67,Catalunya Central,30-39,1,Dona,Positiu,3
10/03/2020,78,Barcelona,30-39,1,Dona,Positiu,1
10/03/2020,64,Girona,90+,0,Home,Positiu,1
10/03/2020,78,Barcelona,0-9,1,Dona,Sospitós,4
10/03/2020,64,Girona,50-59,1,Dona,Sospitós,1
