TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos,date
15/05/2020,7801,Metropolità Sud,10-19,0,Home,Sospitós,11,2020-05-15
15/05/2020,7801,Metropolità Sud,0-9,0,Home,Sospitós,2,2020-05-15
15/05/2020,6700,Catalunya Central,80-89,1,Dona,Sospitós,8,2020-05-15
15/05/2020,7100,Alt Pirineu i Aran,60-69,0,Home,Sospitós,5,2020-05-15
15/05/2020,7801,Metropolità Sud,80-89,1,Dona,Positiu,7,2020-05-15
15/05/2020,6100,Lleida,10-19,1,Dona,Sospitós,5,2020-05-15
15/05/2020,7803,Barcelona Ciutat,90+,0,Home,Sospitós,3,2020-05-15
15/05/2020,6300,Terres de l'Ebre,80-89,1,Dona,Sospitós,1,2020-05-15
15/05/2020,7803,Barcelona Ciutat,0-9,1,Dona,Sospitós,3,2020-05-15
15/05/2020,6100,Lleida,20-29,1,Dona,Sospitós,12,2020-05-15
15/05/2020,6100,Lleida,90+,0,Home,Sospitós,3,2020-05-15
15/05/2020,6400,Girona,20-29,0,Home,Sospitós,12,2020-05-15
15/05/2020,6100,Lleida,50-59,1,Dona,Positiu,2,2020-05-15
15/05/2020,6400,Girona,10-19,1,Dona,Sospitós,5,2020-05-15
15/05/2020,7801,Metropolità Sud,50-59,0,Home,Positiu,1,2020-05-15
15/05/2020,7803,Barcelona Ciutat,20-29,1,Dona,Sospitós,47,2020-05-15
15/05/2020,6700,Catalunya Central,40-49,0,Home,Sospitós,29,2020-05-15
15/05/2020,6200,Camp de Tarragona,30-39,0,Home,Sospitós,1,2020-05-15
15/05/2020,6100,Lleida,40-49,1,Dona,Sospitós,21,2020-05-15
15/05/2020,7802,Metropolità Nord,80-89,1,Dona,Sospitós,30,2020-05-15
15/05/2020,6400,Girona,50-59,0,Home,Positiu,1,2020-05-15
15/05/2020,7803,Barcelona Ciutat,50-59,1,Dona,Sospitós,67,2020-05-15
15/05/2020,6100,Lleida,20-29,0,Home,Sospitós,7,2020-05-15
15/05/2020,7803,Barcelona Ciutat,80-89,1,Dona,Sospitós,31,2020-05-15
15/05/2020,7802,Metropolità Nord,70-79,1,Dona,Sospitós,37,2020-05-15
15/05/2020,6400,Girona,70-79,1,Dona,Sospitós,18,2020-05-15
15/05/2020,6200,Camp de Tarragona,70-79,0,Home,Sospitós,3,2020-05-15
15/05/2020,6200,Camp de Tarragona,50-59,0,Home,Sospitós,6,2020-05-15
15/05/2020,7802,Metropolità Nord,80-89,0,Home,Positiu,1,2020-05-15
15/05/2020,6300,Terres de l'Ebre,40-49,1,Dona,Sospitós,2,2020-05-15
15/05/2020,6100,Lleida,40-49,0,Home,Sospitós,10,2020-05-15
15/05/2020,7802,Metropolità Nord,40-49,0,Home,Positiu,1,2020-05-15
15/05/2020,7803,Barcelona Ciutat,90+,1,Dona,Positiu,4,2020-05-15
15/05/2020,6100,Lleida,40-49,0,Home,Positiu,4,2020-05-15
15/05/2020,7801,Metropolità Sud,30-39,1,Dona,Sospitós,42,2020-05-15
15/05/2020,6400,Girona,30-39,1,Dona,Positiu,2,2020-05-15
15/05/2020,7100,Alt Pirineu i Aran,50-59,1,Dona,Sospitós,18,2020-05-15
15/05/2020,7802,Metropolità Nord,40-49,1,Dona,Sospitós,93,2020-05-15
15/05/2020,7803,Barcelona Ciutat,80-89,0,Home,Sospitós,28,2020-05-15
15/05/2020,7803,Barcelona Ciutat,60-69,0,Home,Positiu,1,2020-05-15
15/05/2020,7802,Metropolità Nord,60-69,0,Home,Sospitós,45,2020-05-15
15/05/2020,7803,Barcelona Ciutat,70-79,0,Home,Positiu,1,2020-05-15
15/05/2020,6100,Lleida,80-89,0,Home,Positiu,2,2020-05-15
15/05/2020,6700,Catalunya Central,20-29,1,Dona,Positiu,2,2020-05-15
15/05/2020,7803,Barcelona Ciutat,50-59,0,Home,Sospitós,52,2020-05-15
15/05/2020,6700,Catalunya Central,80-89,0,Home,Sospitós,10,2020-05-15
